34,Ácido yodhídrico,HI,127.9,
35,Ácido yódico,HIO3,175.9,
36,Amoníaco,NH3,17031,0-30% (20°C)
37,Arseniato de sodio,Na3AsO4,207.89,0-12% (17°C)
38,Bicarbonato de potasio,KHCO3,100114,0-24% (15°C)
39,Bromato de potasio,KBrO3,166999,
40,Bromuro de potasio,KBr,119002,0-40% (20°C)
41,Bromuro de sodio,NaBr,102.89,0-40% (20°C)
42,Bromuro de zinc,ZnBr2,225.19,0-65% (20°C)
43,Butan-1-ol,C4H10O,74123,0-8% (20°C)
44,Carbonato de amonio,(NH4)2CO3,96086,
45,Carbonato de potasio,K2CO3,138204,0-50% (20°C)
46,Carbonato de sodio,Na2CO3,105.99,0-14% (20°C)
47,Cianuro de potasio,KCN,65116,
48,Citrato de sodio,Na3C6H5O7,258.07,0-36% (20°C)
49,Clorato de potasio,KClO3,122.55,0-4% (20°C)
50,Clorato de sodio,NaClO3,106.44,0-34% (18°C)
51,Cloroformo,CHCl3,119.37,
52,Cloruro de aluminio,AlCl3,133.33,0-40% (15°C)
53,Cloruro de amonio,NH4Cl,53.49,0-24% (20°C)
54,Cloruro de antimonio(III),SbCl3,228.11,
55,Cloruro de antimonio(V),SbCl5,299.01,
56,Cloruro de bario,BaCl2,208.23,0-26% (20°C)
57,Cloruro de bismuto(III),BiCl3,315.33,
58,Cloruro de calcio,CaCl2,110.98,0-40% (20°C)
59,Cloruro de cromo(III),CrCl3,158.35,0-14% (18°C)
60,Cloruro de hierro(III),FeCl3,162.20,0-50% (20°C)
61,Cloruro de litio,LiCl,42.39,0-30% (20°C)
62,Cloruro de magnesio,MgCl2,95.21,0-30% (20°C)
63,Cloruro de manganeso(II),MnCl2,125.84,
64,Cloruro de mercurio(II),HgCl2,271.49,
65,Cloruro de niquel,NiCl2,129.59,0-30% (18°C)
66,Cloruro de plomo(II),PbCl2,278.1,
67,Cloruro de potasio,KCl,74.55,0-24% (20°C)
68,Cloruro de cobre(I),Cu2Cl2,197.99,0-20% (20°C)
69,Cloruro de cobre(II),CuCl2,134.45,0-20% (20°C)
70,Cloruro de sodio,NaCl,58.44,0-26% (20°C)
71,Cloruro de estaño(II),SnCl2,189.61,0-65% (15°C)
72,Cloruro de estaño(IV),SnCl4,260.51,0-70% (15°C)
73,Cloruro de estroncio,SrCl2,158.52,0-36% (20°C)
74,Cloruro de zinc,ZnCl2,136.28,0-70% (20°C)
75,Cromato de potasio,K2CrO4,194188,0-30% (18°C)
76,Cromato de sodio,Na2CrO4,161.97,0-26% (18°C)
77,Dicromato de amonio,(NH4)2Cr2O7,252063,0-20% (12°C)
78,Dicromato de potasio,K2Cr2O7,294181,0-10% (20°C)
79,Dicromato de sodio,Na2Cr2O7,261.97,0-50% (15°C)
80,Dihidrogenofosfato de potasio,KH2PO4,136084,0-10% (20°C)
81,Dihidrogenofosfato de sodio,NaH2PO4,119.98,0-40% (20°C)
82,Dimetilglioxima,(CH3CNOH)2,116120,
83,Disodio EDTA,Na2C10H14N2O8,336.21,0-6% (20°C)
84,Disulfuro de carbono,CS2,76.13,
85,Etanol,C2H5OH,46069,0-100% (20°C)
86,Éter etílico,(C2H5)2O,74123,0-5% (20°C)
87,Etilenglicol,(CH2OH)2,62068,0-60% (20°C)
88,Fenol,C6H6O,94113,0-5% (15°C)
89,Formaldehído,CH2O,30026,0-40% (15°C)
90,Formiato de sodio,HCOONa,68.01,0-40% (25°C)
91,Fosfato de sodio,Na3PO4,163.94,0-8% (20°C)
