86,Radó,Rn,222,8,3,"2,8,18,32,18,8",,-71.1,-61.85,0,1037,120,,,9.73,,93.65,0,1900
87,Franci,Fr,223,1,1,"2,8,18,32,18,8,1",0.7,20.9,650,,380,,,,,,,0,1939
88,Radi,Ra,226,2,1,"2,8,18,32,18,8,2",0.9,700,1737,,509.3,,,,5000,19,92,0,1898
89,tini,,227,4,1,"2,8,18,32,18,9,2",1.1,1050,3200,,499,,,,10070,12,120,0,1899
90,Tori,Th,232.04,4,1,"2,8,18,32,18,10,2",1.3,1750,4820,,587,,400,54,11724,54,118,0.00000004,1829
91,Prototini,Pa,231.04,4,1,"2,8,18,32,20,9,2",1.5,1572,4000,,568,,,,15370,47,99.1,0,1913
92,Urani,U,238.03,4,1,"2,8,18,32,21,9,2",1.38,1135,3900,,597.6,,2400,100,19050,27,116,0.00000002,1789
93,Neptuni,Np,237,4,1,"2,8,18,32,22,9,2",1.36,644,4000,,604.5,,,,20450,6,,0,1940
94,Plutoni,Pu,244,4,1,"2,8,18,32,24,8,2",1.28,640,3230,,584.7,,,,19816,6,,0,1940
95,Americi,Am,243,4,1,"2,8,18,32,25,8,2",1.3,1176,2011,,578,,,,13670,10,,0,1944
96,Curi,Cm,247,4,1,"2,8,18,32,25,9,2",1.3,1345,3110,,581,,,,13510,,,0,1944
97,Berkeli,Bk,247,4,1,"2,8,18,32,27,8,2",1.3,1050,,,601,,,,14780,10,,0,1949
98,Californi,Cf,251,4,1,"2,8,18,32,28,8,2",1.3,899.9,,,608,,,,15100,,,0,1950
99,Einsteini,Es,252,4,1,"2,8,18,32,29,8,2",1.3,859.9,,,619,,,,,,,0,1952
100,Fermi,Fm,257,4,1,"2,8,18,32,30,8,2",1.3,1500,,,627,,,,,,,0,1952
101,Mendelevi,Md,258,4,1,"2,8,18,32,31,8,2",1.3,830,,,635,,,,,,,0,1955
102,Nobeli,No,259,4,1,"2,8,18,32,32,8,2",1.3,830,,,642,,,,,,,0,1958
103,Lawrenci,Lr,266,4,1,"2,8,18,32,32,8,3",,1600,,,470,,,,,,,0,1961
104,Rutherfordi,Rf,267,5,4,"2,8,18,32,32,10,2",,,,,580,,,,,,,0,1964
105,Dubni,Db,268,5,4,"2,8,18,32,32,11,2",,,,,,,,,,,,0,1967
106,Seaborgi,Sg,269,5,4,"2,8,18,32,32,12,2",,,,,,,,,,,,0,1974
107,Bohri,Bh,270,5,4,"2,8,18,32,32,13,2",,,,,,,,,,,,0,1981
108,Hassi,Hs,277,5,4,"2,8,18,32,32,14,2",,,,,,,,,,,,0,1984
109,Meitneri,Mt,278,10,4,"2,8,18,32,32,15,2",,,,,,,,,,,,0,1982
110,Darmstadti,Ds,281,10,4,"2,8,18,32,32,17,1",,,,,,,,,,,,0,1994
111,Roentgeni,Rg,282,10,4,"2,8,18,32,32,17,2",,,,,,,,,,,,0,1994
112,Copernici,Cn,285,10,4,"2,8,18,32,32,18,2",,,,,,,,,,,,0,1996
113,Nihoni,Nh,286,10,4,"2,8,18,32,32,18,3",,,,,,,,,,,,0,2004
114,Flerovi,Fl,289,10,4,"2,8,18,32,32,18,4",,,,,,,,,,,,0,1998
115,Moscovi,Mc,290,10,4,"2,8,18,32,32,18,5",,,,,,,,,,,,0,2004
116,Livermori,Lv,293,10,4,"2,8,18,32,32,18,6",,,,,,,,,,,,0,2000
117,Tennes,Ts,294,10,4,"2,8,18,32,32,18,7",,,,,,,,,,,,0,2010
118,Oganessó,Og,294,10,4,"2,8,18,32,32,18,8",,,,,,,,,,,,0,2006
